recovery_family,recovery_level,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__m1__s04__p,4,0.5,s41_5d2765d009adb63aa654,s41_c5c02a53480d1d75ef17,True,False,False,False,True,0.05123937932968403,-0.13873609491925043,-0.18997547424893446
nominal__m2__s04__m,4,0.5,s41_956a35b622bc0695835f,s41_3b64b3b6778122fac61d,True,True,True,False,False,0.2553872333333327,0.054973968161469156,-0.20041326517186353
nominal__m2__s04__p,4,0.5,s41_84de65769938f69d7732,s41_c0c1a8af302d7624a6f2,False,False,False,False,False,-0.009405660253787751,-0.3245997940587486,-0.31519413380496086
nominal__m2__s12__m,4,0.5,s41_9ba9b96f8d94e73eb1a2,s41_385d4a8e9beb7623de1e,True,True,True,False,False,0.15128160000000002,0.24699687963384176,0.09571527963384174
nominal__m2__s12__p,4,0.5,s41_1f7a2f2fef41a3c9e520,s41_cfb6a4be7a5109b19741,True,True,True,False,False,0.3239999295470004,0.027295253175638967,-0.29670467637136144
nominal__m2__s24__m,4,0.5,s41_c9487757fef1df2e7cc0,s41_5f42e9d85524d6cd411a,True,False,False,False,True,0.3942568833333333,-0.084095128254011,-0.4783520115873443
nominal__m2__s24__p,4,0.5,s41_c59c75d099e6f258db7f,s41_4f977e1c93395923674f,True,False,False,False,True,0.07100681587066626,-0.11416294878944999,-0.18516976466011625
RZ_p10_m10__m1__s04__p,4,0.5,s41_c4f74ce3d398f40e6595,s41_8cf2b681df09fd774b0b,False,False,False,False,False,-0.053900722297546055,-0.337861414321996,-0.28396069202444996
RZ_p10_m10__m2__s04__m,4,0.5,s41_10c40b08c9fe65e6cfc3,s41_6d4e0f93fb000a89fad0,True,True,True,False,False,0.0126892666666647,0.01594297211825957,0.0032537054515948682
RZ_p10_m10__m2__s12__m,4,0.5,s41_bb6de6ecdc20a4067cc8,s41_07d0431b7643fc48f16b,False,False,False,False,False,-0.015004000000000906,-0.00868325968273953,0.006320740317261375
RZ_p10_m10__m2__s12__p,4,0.5,s41_e4b73f6686078d5d69cc,s41_e4850dd4ecb2ca96ef8f,True,False,False,False,True,0.19366525214197094,-0.2131983981857668,-0.40686365032773775
RZ_p10_m10__m2__s24__m,4,0.5,s41_c108e83ffd3db5c280cd,s41_9c3bcb6e8501750f3cd1,True,False,False,False,True,0.2542708433333333,-0.14859890723816638,-0.40286975057149965
RZ_p10_m10__m2__s24__p,4,0.5,s41_935dd353f9407c72ca41,s41_10f802d0ed636069dcb0,False,False,False,False,False,-0.08431652909798326,-0.14728368336250797,-0.0629671542645247
