pair_id,target_id,actual_delay_steps,actual_slew_scale,member_count,plus_first_pass,minus_first_pass,both_members_pass,history_sensitive_outcome,history_assessment_status,same_trajectory_length,maximum_action_abs_difference,maximum_R_abs_difference_m,maximum_Z_abs_difference_m,maximum_Ip_abs_difference_A,maximum_coil_abs_difference_A,maximum_wire_abs_difference_A
p5_q1_a0p900_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.006269296631217003,0.0004374540000000593,0.0003515154000000003,7.046599999997852,0.10000000000000853,0.488
p5_q1_a0p900_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.005591370165348053,0.0004374540000000593,0.00035142249999999854,7.050100000000384,0.06250000000001421,0.369
p5_q1_a0p900_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.0010254699736833572,0.0004374540000000593,0.0003484824000000025,7.447600000003149,0.010000000000005116,0.369
p5_q1_a0p900_gap2_settle4,nominal,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.00553852244047448,0.0004374540000000593,0.00036256739999999954,5.305200000002515,0.10000000000000853,0.49500000000000005
p5_q2_a0p900_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.00795610249042511,0.00039006399999996777,0.0005094573999999998,2.6798999999991793,0.10000000000000853,0.45599999999999996
p5_q2_a0p900_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.006778791546821594,0.00039006399999996777,0.0005067991999999997,6.5560999999979686,0.06250000000001421,0.401
p5_q2_a0p900_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.0011118296533823013,0.00039006399999996777,0.0005100168899999993,7.202099999998609,0.020833333333342807,0.401
p5_q2_a0p900_gap2_settle4,nominal,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.008310362696647644,0.00039006399999996777,0.0005960172,4.468799999998737,0.10000000000000853,0.5330000000000001
p9_q1_a0p750_gap2_settle4,RZ_p10_m10,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.019317613914608955,0.00046502799999992295,0.000673572439999999,8.19210000000021,0.125,0.6210000000000001
p9_q1_a0p750_gap2_settle4,RZ_p10_m10,2,0.9,2,True,True,True,False,both_pass_development_pair_success,True,0.008435097523033619,0.00046502799999992295,0.00039244690000000103,7.35989999999947,0.0833333333333286,0.33399999999999996
p9_q1_a0p750_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.007586731037008576,0.00046502799999992295,0.0004129731999999997,6.876599999999598,0.08333333333335702,0.3520000000000001
p9_q1_a0p750_gap2_settle4,nominal,2,0.9,2,True,True,True,False,both_pass_development_pair_success,True,0.003495190292596817,0.00046502799999992295,0.00050039768,2.7665999999990163,0.0625,0.33399999999999996
p9_q2_a0p750_gap2_settle4,RZ_p10_m10,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.019549494609236717,0.0004513839999999991,0.0006374500299999994,3.764999999999418,0.125,0.6230000000000001
p9_q2_a0p750_gap2_settle4,RZ_p10_m10,2,0.9,2,True,True,True,False,both_pass_development_pair_success,True,0.00843026116490364,0.0003814429999999813,0.00047653519999999935,7.249700000000303,0.0833333333333286,0.34099999999999997
p9_q2_a0p750_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.0076681990176439285,0.0003814429999999813,0.0004752753799999996,6.169899999997142,0.0833333333333286,0.3720000000000001
p9_q2_a0p750_gap2_settle4,nominal,2,0.9,2,True,True,True,False,both_pass_development_pair_success,True,0.0045869005843997,0.0003814429999999813,0.00059374124,2.550999999999476,0.0625,0.34099999999999997
